osmid,remap_id
25248785,0
25248786,1
25248787,2
25248790,3
25248791,4
25585055,5
25585082,6
25585083,7
25585092,8
25585093,9
25585099,10
25585116,11
25585122,12
25585141,13
26535390,14
26535594,15
26535595,16
26535596,17
27484724,18
27484727,19
27484729,20
27484730,21
27484736,22
27484993,23
27484994,24
27484999,25
27485058,26
27486094,27
27547590,28
27547596,29
27547600,30
27547614,31
27547627,32
27547644,33
27547648,34
27547653,35
30993511,36
30993514,37
30993516,38
30993521,39
30993536,40
30993546,41
30993549,42
30993612,43
30993615,44
30993622,45
30993628,46
30993641,47
30993642,48
30993647,49
30993789,50
30993790,51
31017966,52
31017991,53
31018090,54
31018236,55
31018238,56
31018239,57
31194136,58
31194139,59
31194141,60
31194142,61
31194143,62
31194144,63
31194145,64
31194147,65
31194226,66
31194234,67
31194236,68
31194237,69
31194315,70
31194316,71
31194319,72
31194322,73
31194330,74
31194414,75
31194415,76
31194416,77
31194417,78
31194550,79
31201008,80
31201265,81
31201268,82
31201272,83
31201275,84
31204690,85
31204696,86
31204703,87
31204709,88
31204711,89
31204819,90
31204892,91
31204911,92
31205104,93
31205111,94
31205114,95
31331903,96
31331906,97
31331978,98
31332092,99
32061956,100
32062412,101
32062415,102
32387952,103
32387953,104
32387954,105
32387957,106
32388118,107
32388119,108
32388365,109
32615466,110
32615468,111
32615470,112
32615472,113
32615474,114
32615475,115
32615479,116
32615480,117
32615481,118
32615483,119
32615484,120
32618816,121
32618819,122
32618821,123
32618834,124
32618837,125
32618840,126
32618842,127
32618866,128
32618883,129
32618885,130
32877189,131
32877193,132
32877196,133
32877217,134
32877275,135
32877279,136
32899013,137
32899017,138
33399858,139
34710869,140
34928517,141
34928522,142
34928634,143
34928733,144
35286274,145
35549717,146
35549783,147
35551151,148
35551152,149
35551154,150
35551155,151
35551157,152
35551198,153
35551808,154
35552053,155
35552056,156
35552059,157
35552318,158
35552319,159
35552320,160
35552322,161
35552324,162
35552589,163
35553136,164
35553581,165
35553582,166
35553585,167
35554234,168
35554805,169
35554808,170
35554809,171
35555070,172
35555071,173
35555404,174
35555615,175
35555616,176
35555619,177
35722439,178
35722654,179
35722669,180
35722724,181
35722732,182
35722734,183
35722735,184
35722736,185
35722737,186
35722739,187
35722741,188
35835325,189
35835420,190
35835426,191
35835428,192
35835567,193
35835568,194
35835569,195
35835570,196
35835571,197
35835582,198
35835744,199
35835749,200
35835807,201
35835843,202
35835852,203
