osmid,remap_id
334304104,0
334304160,1
334304164,2
334304167,3
334304432,4
334304433,5
334304434,6
334304444,7
334304448,8
334305011,9
334305013,10
334324836,11
334324838,12
334325320,13
334325323,14
334325326,15
334325330,16
334358403,17
334358674,18
334360327,19
334360329,20
334360330,21
334360334,22
334360338,23
334360339,24
334360341,25
334360346,26
334360358,27
334360359,28
334360363,29
334360364,30
334360370,31
334360391,32
334360401,33
334360403,34
334363416,35
334363433,36
334363442,37
334363443,38
334363444,39
334369611,40
334380061,41
334380065,42
334380072,43
334380074,44
334380075,45
334380312,46
334380318,47
334380319,48
334650460,49
334650461,50
334650462,51
334650463,52
334650464,53
334650465,54
334650466,55
334650518,56
334650533,57
334650534,58
334650535,59
334650536,60
334650537,61
334650576,62
335579307,63
335579308,64
338475997,65
338476001,66
401244518,67
401256780,68
401256897,69
401256955,70
401257628,71
401257629,72
401257632,73
401257634,74
401257636,75
401257637,76
401257640,77
401284763,78
401284764,79
401284787,80
401285165,81
401285241,82
401285243,83
401285245,84
401285411,85
401285414,86
401285557,87
402990784,88
402990786,89
402993318,90
402993698,91
402996797,92
403003332,93
403004953,94
403022992,95
403025835,96
403033004,97
403108046,98
403108049,99
403108246,100
403108436,101
403108469,102
403108897,103
403110622,104
403112426,105
403112428,106
403112763,107
403113540,108
403113836,109
403114153,110
403115117,111
403115120,112
403115590,113
403115591,114
403118301,115
403119514,116
403124269,117
403207351,118
403208780,119
403211221,120
403211225,121
403211238,122
403213442,123
403213446,124
403213449,125
403214906,126
403214911,127
403220285,128
403222071,129
403222072,130
403222076,131
403222079,132
403222083,133
403222084,134
403222927,135
403222930,136
403226219,137
403226224,138
403227045,139
403227047,140
403227051,141
403227059,142
403228431,143
403228445,144
403228450,145
403228462,146
403230602,147
403234915,148
403237683,149
403237761,150
403237764,151
403237766,152
403237773,153
403241515,154
403241527,155
403241530,156
403245438,157
403245444,158
403247399,159
403247403,160
403247407,161
403247415,162
403247425,163
403247433,164
403247444,165
403250528,166
403251665,167
403251671,168
403251675,169
403251678,170
403251682,171
403252393,172
403253267,173
403255680,174
403276724,175
403278101,176
403279006,177
403282179,178
403300835,179
403300959,180
403302313,181
403302708,182
403302711,183
403302714,184
403304199,185
403304209,186
403304724,187
403306018,188
403306020,189
403306021,190
403306022,191
403306332,192
403308900,193
403310827,194
403313612,195
403314521,196
403316633,197
403316635,198
403316636,199
403328069,200
403329681,201
403330174,202
403330684,203
403345544,204
403345548,205
403349464,206
403349466,207
403349469,208
403349477,209
403351241,210
403351255,211
403354002,212
403357856,213
403357859,214
403357864,215
403357877,216
403357889,217
403359260,218
403359263,219
403361489,220
403361492,221
403361495,222
403361498,223
403361502,224
403361521,225
403361529,226
403364660,227
403365627,228
403367327,229
403367329,230
404576328,231
404578760,232
404585578,233
404596712,234
404596727,235
404596768,236
404596790,237
404596794,238
404596813,239
404596844,240
404597536,241
404613154,242
404621123,243
404621875,244
404622809,245
404622821,246
404625285,247
404628409,248
404628417,249
404628426,250
404628439,251
404628444,252
404632205,253
404632214,254
404632227,255
404633305,256
404633309,257
404633313,258
404633326,259
404640342,260
404641802,261
404642363,262
404642371,263
404642377,264
404656641,265
406091148,266
406091154,267
406091158,268
406094257,269
406094302,270
406094306,271
406094311,272
406095950,273
406097317,274
406109735,275
406109739,276
406113226,277
406114042,278
406117812,279
406120051,280
406122629,281
406122637,282
406122643,283
406122658,284
406124739,285
406130907,286
406130909,287
406130918,288
406130926,289
406130931,290
406130934,291
406130944,292
406135442,293
406135449,294
406140309,295
406143584,296
406149779,297
406149782,298
406149790,299
406149794,300
406151029,301
406151033,302
406441967,303
406441968,304
406441990,305
406444286,306
406444289,307
406444292,308
406444302,309
406444305,310
406444308,311
406445403,312
406445417,313
406445419,314
406447361,315
406447365,316
406447368,317
406447372,318
406447375,319
406449014,320
406449019,321
406449021,322
406451324,323
406451328,324
406451330,325
406451332,326
406451333,327
406451967,328
406451996,329
406457010,330
406458792,331
406459677,332
406459681,333
406465622,334
406475537,335
406475540,336
406486055,337
406486067,338
406486071,339
406487679,340
406491954,341
406494822,342
406494829,343
406496463,344
406496465,345
406501673,346
406501678,347
406501689,348
406501695,349
406502418,350
406510114,351
406510116,352
406510118,353
406510119,354
406510126,355
406510133,356
406513848,357
406515190,358
406515193,359
406515196,360
406532706,361
406532709,362
406532712,363
406532720,364
412198260,365
412198572,366
412198614,367
412198615,368
412198619,369
412198649,370
412198653,371
412198661,372
412199346,373
412199347,374
412199348,375
412199483,376
412199700,377
412199702,378
412199703,379
412199918,380
412199931,381
412200538,382
412200845,383
412200846,384
412200882,385
412200886,386
412200889,387
412200960,388
412200961,389
412201011,390
412201076,391
412201081,392
412201557,393
412201738,394
412201866,395
412202349,396
412475298,397
412475424,398
412475426,399
412475427,400
412475428,401
412475429,402
412475432,403
412475502,404
412475503,405
412475504,406
412475557,407
