osmid,remap_id
288416374,0
288416379,1
288416380,2
288416386,3
288416399,4
314622896,5
314622918,6
314623160,7
314635488,8
314655436,9
432432519,10
432432527,11
432432531,12
432432534,13
432432535,14
432432536,15
432432540,16
432432542,17
432432545,18
432432548,19
432432550,20
432432555,21
432432557,22
432432558,23
432432625,24
432432632,25
432442580,26
432452995,27
432452998,28
432453013,29
432453024,30
439751999,31
441087931,32
441159317,33
441159325,34
441159337,35
441159370,36
441159468,37
441159472,38
441159478,39
441159525,40
441159592,41
441159603,42
441159654,43
441159657,44
441159658,45
441159659,46
441159669,47
441159670,48
441159671,49
441159817,50
441159820,51
441160266,52
441160318,53
441160323,54
441160335,55
441160359,56
441160422,57
441160553,58
441160800,59
441161052,60
441187183,61
441187223,62
441187228,63
441187240,64
441187385,65
441187401,66
441187404,67
441187441,68
441187491,69
441187597,70
441187655,71
441187666,72
441187715,73
465203714,74
465203734,75
465203743,76
465203748,77
465203789,78
503861693,79
503861697,80
503861702,81
504315305,82
504315308,83
504315331,84
504315332,85
504315334,86
504315473,87
603415280,88
603415282,89
628641734,90
628641738,91
628641785,92
671591330,93
671591382,94
671591420,95
671591422,96
671591584,97
671591599,98
671600419,99
671600440,100
672282737,101
672282785,102
672282824,103
672287905,104
672287939,105
672293777,106
672347380,107
672347603,108
672349181,109
672349217,110
672349622,111
672349887,112
672360478,113
672360506,114
672360698,115
672360710,116
672360898,117
672405808,118
672406316,119
803149456,120
803149473,121
803149746,122
803149763,123
803149778,124
803149786,125
803150974,126
838319867,127
838319910,128
872832450,129
872833772,130
872834372,131
872835364,132
963638438,133
963638465,134
1072698394,135
1072698526,136
1072698542,137
1072698604,138
1072698605,139
1072698608,140
1072698631,141
1072698676,142
1072704314,143
1072704335,144
1072704341,145
1072704360,146
1072704384,147
1072704388,148
1072704392,149
1072704393,150
1153895611,151
1153895612,152
1156119116,153
1156119151,154
1156126792,155
1156126793,156
1156126794,157
1156126795,158
1156126796,159
1156126797,160
1156126798,161
1156126835,162
1156126849,163
1156126882,164
1156126883,165
1159131046,166
1159131458,167
1159131461,168
1159131810,169
1159131822,170
1159131824,171
1159131825,172
1159131854,173
1159131855,174
1159131856,175
1159131919,176
1159132217,177
1159134903,178
1159134910,179
1159134924,180
1159134927,181
1159134936,182
1159134952,183
1159136172,184
1159136176,185
1159137566,186
1159137575,187
1159138260,188
1159138261,189
1159138412,190
1159138415,191
1159138496,192
1159138498,193
1159139099,194
1159139100,195
1159139949,196
1159141240,197
1159143355,198
1159143633,199
1159143637,200
1159143853,201
1159143854,202
1159144695,203
1159144963,204
1159144966,205
1159145482,206
1159145485,207
1159145919,208
1159146549,209
1159148358,210
1159148361,211
1159148556,212
1159148557,213
1159148964,214
1159149010,215
1159149120,216
1159149121,217
1159149125,218
1159149344,219
1159149345,220
1159149348,221
1159149349,222
1159149361,223
1159149478,224
1159149479,225
1159154995,226
1159155007,227
1159156114,228
1159156115,229
1159223045,230
1159223968,231
1159223969,232
1159223970,233
1159224292,234
1159224808,235
1159225483,236
1159225485,237
1159225486,238
1159225730,239
1159225743,240
1159225746,241
1159225748,242
1159225754,243
1159226736,244
1159226738,245
1159226949,246
1159227282,247
1159227442,248
1159227452,249
1159227572,250
1159227581,251
1159227700,252
1159227704,253
1159228699,254
1159228754,255
1159228848,256
1159229567,257
1159229568,258
1159229570,259
1159229571,260
1159229835,261
1159229836,262
1159229837,263
1159230079,264
1159230080,265
1159230108,266
1159230552,267
1159230555,268
1159230558,269
1159231408,270
1159231411,271
1159231413,272
1159231421,273
1159231823,274
1159231828,275
1159232134,276
1159232653,277
1159234110,278
1159234118,279
1159234180,280
1159234181,281
1159445004,282
1159445859,283
1159445864,284
1159445866,285
1159445869,286
1159447656,287
1159451475,288
1159451504,289
1159452242,290
1159452250,291
1159453978,292
1159454544,293
1159461706,294
1159461708,295
1159471906,296
1159471908,297
1159471913,298
1159474712,299
1159474715,300
1159475412,301
1159475863,302
1159477623,303
1159477627,304
1159477630,305
1159477636,306
1159478530,307
1159478537,308
1159480328,309
1159480331,310
1159480334,311
1159481253,312
1159482260,313
1159483868,314
1159483883,315
1159483888,316
1159486350,317
1159486355,318
1159486373,319
1159488285,320
1159488308,321
1159488324,322
1159490040,323
1159490053,324
1159491545,325
1159491568,326
1159496594,327
1159496600,328
1159496605,329
1159496654,330
1159497333,331
1159497947,332
1159512572,333
1159516133,334
1159945476,335
1159945480,336
1159945481,337
1159945485,338
1159945489,339
1159946060,340
1159950973,341
1159950981,342
1192818260,343
1192818270,344
1290303454,345
1301932970,346
1301932972,347
1301932975,348
1301932980,349
1301932985,350
1301932996,351
1301933028,352
1301933042,353
1301933046,354
1305816680,355
1305816684,356
1305816693,357
1305816694,358
1305816697,359
1305816705,360
1305816712,361
1305816735,362
1305816752,363
1312615976,364
1339701401,365
1339701403,366
1339701405,367
1339701406,368
1339701407,369
1339701411,370
1339701413,371
1339701414,372
1339701416,373
1339701417,374
1339701419,375
1339762122,376
1339762127,377
1339762132,378
1388412852,379
1388412853,380
1425996106,381
1445475727,382
1445515786,383
1445516613,384
1445516614,385
1445517492,386
1445519248,387
1445522773,388
1445528674,389
1445535379,390
1455005333,391
1455094498,392
1455094508,393
1455094510,394
1455094521,395
1455094522,396
1455098599,397
1455111116,398
1455111118,399
1455111165,400
1457814237,401
1457815029,402
1457815639,403
1457829894,404
1457834346,405
1457834347,406
1457840983,407
1457842162,408
1457843773,409
1457843788,410
1457852151,411
1457852152,412
1457855216,413
1457858421,414
1457862034,415
1457862052,416
1457870148,417
1457870721,418
1457872913,419
1457872927,420
1458037193,421
1458550334,422
1458560482,423
1458565268,424
1458575270,425
1458579724,426
1458586317,427
1458588156,428
1458588160,429
1458692371,430
1458692381,431
1458692382,432
1458692386,433
1458786968,434
1458786995,435
1458907151,436
1458909662,437
1458910132,438
1458910133,439
1458947310,440
1458972937,441
1458972938,442
1458972939,443
1458981267,444
1458981269,445
1458985269,446
1458995148,447
1458998773,448
1458998774,449
1458998780,450
1458998783,451
1458999137,452
1459000907,453
1459000910,454
1459003958,455
1459003959,456
1459005274,457
1459011374,458
1459056445,459
1459910105,460
1460300834,461
1460304817,462
1460305516,463
1460306173,464
1460309118,465
1460310679,466
1460311247,467
1460346639,468
1492367286,469
1492368558,470
1492368560,471
1492368572,472
1492371540,473
1492374043,474
1492384180,475
1492389307,476
1492389309,477
1492389322,478
1492389323,479
1492390578,480
1492390579,481
1492396690,482
1492396692,483
1492396694,484
1492399323,485
1492399992,486
1498703308,487
1498768416,488
1498768417,489
1498793022,490
1498794374,491
1499133843,492
1499189790,493
1500638622,494
1500638636,495
1500638639,496
1500638700,497
1500638717,498
1500638719,499
1504174254,500
1504189436,501
1504189455,502
1504193292,503
1504193293,504
1504193294,505
1504198485,506
1504202385,507
1504203218,508
1504206780,509
1504208589,510
1504208933,511
1504210129,512
1504210130,513
1504213664,514
1504213677,515
1504230228,516
1504230242,517
1504232582,518
1504233588,519
1506387806,520
1506387928,521
1506424272,522
1506424273,523
1506426847,524
1506428007,525
1506449545,526
1506487131,527
1506559767,528
1506559770,529
1507236181,530
1507236182,531
1507238858,532
1507257626,533
1507261226,534
1507261238,535
1507263105,536
1507266871,537
1507338767,538
1507358678,539
1507363091,540
1507393760,541
1756176894,542
1794687136,543
1815728532,544
1815728540,545
1815728551,546
1815729252,547
1815729255,548
1815729257,549
1815729260,550
1815729261,551
1815729262,552
1815741549,553
1815741555,554
1815741561,555
1815741564,556
1815741566,557
1815741570,558
1815741571,559
1815741573,560
1827955129,561
1827955130,562
1845199170,563
1845199172,564
1861145344,565
1861145364,566
1885342916,567
1885342917,568
1902099031,569
1902099047,570
1902099081,571
1902099120,572
1902099165,573
1902099167,574
1902099188,575
1902099198,576
1947138487,577
1947138494,578
1947168661,579
1947583813,580
1947583827,581
1947583836,582
1947583849,583
1947583851,584
1947583861,585
1947583862,586
1947583867,587
1947584007,588
1947584056,589
1947584145,590
1956501938,591
1956501941,592
1956502807,593
1956554700,594
1956554705,595
1956567318,596
1956567320,597
1958204061,598
1958204086,599
1958204223,600
1958204265,601
1958204318,602
1958204341,603
1958204348,604
1964301825,605
1964305089,606
1964309339,607
1964323678,608
1964325479,609
1964326877,610
1964337171,611
1964388817,612
1964394670,613
1964394673,614
1964418551,615
1964418552,616
1964427885,617
1964427886,618
1964471393,619
1964578647,620
1964580173,621
1964588537,622
1964588544,623
1987226861,624
1987226888,625
1987226891,626
1987271096,627
1987271130,628
2039517042,629
2039522710,630
2039522711,631
2039522713,632
2039528344,633
2039528346,634
2039528348,635
2039529042,636
2039529043,637
2039550405,638
2039550414,639
2039550420,640
2039550426,641
2039561228,642
2039561229,643
2039561230,644
2039561232,645
2039561233,646
2039561235,647
2039561237,648
2039561238,649
2039561240,650
2039561243,651
2039561244,652
2039561245,653
2039561247,654
2039563302,655
2041314661,656
2041337799,657
2041337801,658
2041337968,659
2041337970,660
2041337974,661
2041337982,662
2041522384,663
2041527384,664
2041527387,665
2041527397,666
2041527400,667
2041527417,668
2041527424,669
2041527427,670
2041527436,671
2041527471,672
2041527475,673
2041530098,674
2041530108,675
2041531471,676
2041531475,677
2041532105,678
2041535225,679
2118889094,680
2118898633,681
2118898646,682
2118898662,683
2118909749,684
2118909751,685
2118910074,686
2118910075,687
2118910078,688
2118910086,689
2118910090,690
2180630915,691
2180630923,692
2180630926,693
2180630928,694
2180630938,695
2180630939,696
2204171382,697
2204171403,698
2204171423,699
2204171428,700
2211348822,701
2211353126,702
2217714910,703
2217714914,704
2217746783,705
2217746791,706
2217746793,707
2217746797,708
2217746798,709
2217746800,710
2217790313,711
2276187310,712
2276187313,713
2309311958,714
2329062687,715
2329062689,716
2329062690,717
2329062692,718
2329062698,719
2329066042,720
2329094574,721
2329094576,722
2329094579,723
2329094584,724
2329094595,725
2329293161,726
2330197895,727
2330199410,728
2331442697,729
2331442703,730
2331442710,731
2344329063,732
2344329072,733
2344329082,734
2360396882,735
2360396949,736
2366953418,737
2398037490,738
2472030042,739
2472030043,740
2472030044,741
2472030045,742
2472030046,743
2472030047,744
2472030048,745
2472030049,746
2472036427,747
2472046174,748
2472046178,749
2472054564,750
2472054565,751
2472055935,752
2500249537,753
2532971957,754
2532972245,755
2532979486,756
2532979487,757
2532979500,758
2534025680,759
2534035138,760
2539837357,761
2631867278,762
2631867279,763
2631867280,764
2651625482,765
2651655862,766
2651655877,767
2651675847,768
2651675849,769
2651675850,770
2653235046,771
2653235048,772
